road,id,model_type,condition,name,lat,lon,length
N1,1002313,link,,Z1133 Road to Shaplapur,21.1158333,92.1971386,86.99999999998909
N1,1002314,link,,Bridge start,21.1151667,92.1975552,77.99999999997453
N1,1002315,link,,Bridge end,21.1146111,92.1979719,1.6000000000531145
N1,1002316,bridge,B,TAS SE BRIDGE HOANGK,21.1145580496021,92.1980208315649,12.8
N1,1002317,bridge,D,Tasse Bridge,21.1145580496021,92.1980208315649,12.8
N1,1002318,link,,Bridge end,21.1146111,92.1979719,362.59999999998627
N1,1002319,link,,Info.Missing,21.1121111,92.2002778,40.3999999999769
N1,1002320,bridge,A,LAMBA-BIL PORA,21.1118930148936,92.2005928021276,1.2
N1,1002321,link,,Info.Missing,21.1121111,92.2002778,5.400000000008731
N1,1002322,link,,Box culvert,21.1118611,92.2006389,117.39999999997508
N1,1002323,bridge,A,LAMBABIL MIDDLE PARA,21.1108101507936,92.2020956942857,1.2
N1,1002324,link,,Box culvert,21.1118611,92.2006389,102.79999999994516
N1,1002325,bridge,A,LAMBABIL MIDDLE,21.1098838904761,92.2033796485714,1.2
N1,1002326,link,,Box culvert,21.1118611,92.2006389,92.39999999999782
N1,1002327,link,,Box culvert,21.1090556,92.2045278,98.59999999997626
N1,1002328,bridge,A,LAMBA - BIL - (1) BOX CULVERT,21.108771344186,92.2048378697674,2.8
N1,1002329,link,,Box culvert,21.1090556,92.2045278,157.20000000004575
N1,1002330,bridge,A,LAM BA BIL (2) BOX CULVERT,21.1083165348837,92.2053339813953,2.8
N1,1002331,link,,Box culvert,21.1090556,92.2045278,168.60000000002628
N1,1002332,link,,Box culvert,21.1078333,92.2058611,44.399999999939155
N1,1002333,bridge,A,LAMBA BIL (3) BOX CULVERT,21.1078333,92.2061073045454,1.2
N1,1002334,link,,Box culvert,21.1078333,92.2058611,152.4000000000001
N1,1002335,link,,Box culvert,21.1078333,92.2069444,69.99999999999318
N1,1002336,link,,Km post broken,21.1058333,92.20725,64.00000000002137
N1,1002337,link,,Box culvert,21.1053611,92.2073889,7.399999999961437
N1,1002338,bridge,C,LAMBA BIL BOX,21.1052944333333,92.20739816,1.2
N1,1002339,link,,Box culvert,21.1053611,92.2073889,111.40000000000327
N1,1002340,link,,Box culvert,21.1043611,92.2075278,206.99999999999363
N1,1002341,link,,Box culvert,21.1026389,92.2077778,59.89999999997053
N1,1002342,bridge,C,Unchi-Prong Bridge,21.1020295703488,92.2079394552325,34.2
N1,1002343,bridge,A,UNCHI - PRANG BRIDGE,21.1020295703488,92.2079394552325,34.2
N1,1002344,link,,Box culvert,21.1026389,92.2077778,77.89999999994279
N1,1002345,link,,Box culvert,21.1012778,92.2081389,92.49999999997272
N1,1002346,bridge,A,ON SIFAPAING BOX CULVERT,21.1005774145454,92.208578050909,3.0
N1,1002347,link,,Box culvert,21.1012778,92.2081389,124.50000000001182
N1,1002348,link,,Box culvert,21.0996386,92.2091667,104.39999999999827
N1,1002349,bridge,A,UNCHING OPLONG CULVERT (1),21.0988710315789,92.2096579157894,1.2
N1,1002350,link,,Box culvert,21.0996386,92.2091667,179.39999999993006
N1,1002351,link,,Info.Missing,21.0975552,92.2105,28.00000000002001
N1,1002352,link,,Box culvert,21.097333,92.2106111,269.6500000000128
N1,1002353,bridge,A,KUTUB DIA PARA (1) CULVERT,21.0950312659147,92.2114600974937,2.7
N1,1002354,link,,Box culvert,21.097333,92.2106111,66.30000000001246
N1,1002355,bridge,A,KUTUB DIA PARA CULVERT,21.0944452155388,92.2116762629072,2.7
N1,1002356,link,,Box culvert,21.097333,92.2106111,57.649999999966894
N1,1002357,link,,Bridge start,21.0939441,92.2118611,36.000000000001364
N1,1002358,link,,Bridge end,21.0936663,92.2119444,146.90000000001646
N1,1002359,bridge,A,KUTUB - DIA PARA (3),21.0923827310126,92.2123111474683,4.2
N1,1002360,link,,Bridge end,21.0936663,92.2119444,6.900000000030104
N1,1002361,link,,Box culvert,21.0923052,92.2123333,210.6499999999869
N1,1002362,bridge,A,KANGOR PARA,21.0905260238297,92.2128845902127,2.7
N1,1002363,link,,Box culvert,21.0923052,92.2123333,21.650000000022374
N1,1002364,link,,Box culvert,21.090333,92.2129444,143.9999999999486
N1,1002365,link,,Km post missing,21.0891941,92.2135,41.400000000010095
N1,1002366,bridge,A,KANGOR PARA MOZGID,21.088867034104,92.213695567052,1.2
N1,1002367,link,,Km post missing,21.0891941,92.2135,242.999999999995
N1,1002368,bridge,A,KHAN GIOR PARA (1),21.0869591497109,92.2148363748555,2.8
N1,1002369,link,,Km post missing,21.0891941,92.2135,56.99999999995953
