road,id,model_type,condition,name,lat,lon,length
N1,1000079,bridge,A,Marikhali Bridge(L),23.6284668507692,90.6023015723077,86.92
N1,1000080,link,,Box culvert,23.6262771,90.6042222,130.00000000000256
N1,1000081,link,,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,135.99999999999923
N1,1000082,link,,Bridge start,23.6242216,90.6055278,227.99999999999798
N1,1000083,link,,Bridge end,23.6224993,90.6066944,259.00000000000034
N1,1000084,link,,Bridge start,23.6204716,90.6079722,73.25000000000159
N1,1000085,bridge,B,SANGAKADI CULVERT,23.6198832229508,90.6083528852459,5.5
N1,1000086,link,,Bridge end,23.6195271,90.6085833,109.59000000000074
N1,1000087,bridge,A,ASHIR CHAR (Right),23.6176407964705,90.6095506105882,224.8
N1,1000088,link,,Km post missing,23.6173604,90.6096944,312.5399999999985
N1,1000089,bridge,A,Asharirchar-2 Bridge.(R),23.613587384385,90.6109029561497,119.32
N1,1000090,link,,Meghna  bridge,23.6095556,90.6121944,65.00000000000128
N1,1000091,link,,Km post missing,23.609,90.6124722,301.5749999999997
N1,1000092,bridge,A,Meghna Bridge,23.6027595885583,90.6155316965675,924.85
N1,1000093,link,,Km post missing,23.6009444,90.6165556,773.575000000001
N1,1000094,link,,Km post missing,23.5959997,90.624666,9.99999999999801
N1,1000095,link,,Box culvert,23.5959441,90.6246938,473.1999999999985
N1,1000096,bridge,A,TATULTALA CULVERT,23.5929818827893,90.6279699370919,5.6
N1,1000097,link,,Box culvert,23.5917497,90.6293327,136.25000000000398
N1,1000098,bridge,A,BAILAKANDI CULVERT,23.5908088547468,90.6302368598101,5.5
N1,1000099,link,,Km post missing,23.5896108,90.6313882,488.1999999999991
N1,1000100,bridge,A,MALUAKANDI CULVEDRT,23.58631812254,90.6345094207093,5.6
N1,1000101,link,,Bridge start,23.5837497,90.6369441,126.00000000000122
N1,1000102,link,,Km post missing,23.5828327,90.6378886,38.999999999997925
N1,1000103,link,,Bridge end,23.5825827,90.6381386,560.3750000000005
N1,1000104,bridge,A,Bhater char Bridge (L),23.5779800248475,90.6419193089939,172.1
N1,1000105,link,,Bridge end,23.5776104,90.6421108,357.37499999999756
N1,1000106,link,,Information missing,23.5745271,90.6436941,307.99999999999983
N1,1000107,link,,Bridge start,23.572166,90.6451108,45.999999999999375
N1,1000108,link,,Bridge end,23.5718327,90.6453052,10.0750000000005
N1,1000109,bridge,A,Anarpara Bridge (L),23.5716306256965,90.6454159236842,29.85
N1,1000110,link,,Km post missing,23.5666111,90.6481663,65.64999999999799
N1,1000111,bridge,A,VITIKANDA - ANAR PUR CULVERT,23.5660033956521,90.6486237247282,34.7
N1,1000112,link,,Bridge start,23.5639167,90.6501944,38.000000000000256
N1,1000113,link,,Bridge end,23.5636944,90.6504722,532.0
N1,1000114,link,,Bridge start,23.5604167,90.6542222,38.000000000000256
N1,1000115,link,,Bridge end,23.5602222,90.6545,39.00000000000148
N1,1000116,link,,"Ctg 229 km,Comilla 62 km",23.5599722,90.6548056,120.3000000000003
N1,1000117,bridge,A,Alipur bridge(R),23.5591910296296,90.6557475703703,27.4
N1,1000118,link,,Road to Gazara (Z1063),23.5590278,90.6559444,411.99999999999903
N1,1000119,link,,Bridge start,23.5564444,90.6588611,40.0000000000027
N1,1000120,link,,Bridge end,23.5562222,90.6591389,69.074999999998
N1,1000121,bridge,A,Bhaber char Bridge(R),23.5557082901265,90.6597414245569,29.85
N1,1000122,link,,"Ctg 228 km,Comilla 61 km",23.5538056,90.6619722,241.99999999999733
N1,1000123,link,,Box culvert,23.5523333,90.6636667,81.05000000000473
N1,1000124,bridge,A,Baushia Bridge(R),23.5517421907216,90.6643538752577,29.87
N1,1000125,link,,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,165.44999999999987
N1,1000126,bridge,A,PURRANBUICHE BOX CULVERT,23.5477377446428,90.6690554098214,9.1
N1,1000127,bridge,A,NOYAPARA,23.5476246437499,90.669192065625,5.2
N1,1000128,link,,Bridge start,23.5474163,90.6694438,76.99999999999818
N1,1000129,link,,Bridge end,23.5469441,90.6699993,442.99999999999784
N1,1000130,link,,Box culvert,23.5442219,90.6731104,203.75500000000102
N1,1000131,bridge,A,Madhya Baushia Bridge(L),23.54268543125,90.6748292125,72.49
N1,1000132,link,,Km post missing,23.542583,90.6749438,481.20499999999566
N1,1000133,bridge,C,BOCTAR KANDI BOX CULVERT,23.5393910168,90.6784577888,5.1
N1,1000134,link,,Km post missing,23.5362497,90.681916,33.99999999999892
N1,1000135,link,,Bridge start,23.536083,90.6821382,39.99999999999915
N1,1000136,link,,Bridge end,23.5358608,90.6823604,275.0000000000057
N1,1000137,link,,Box culvert,23.5341386,90.6843052,220.24999999999295
N1,1000138,bridge,A,.,23.5327751898617,90.6858701078341,9.5
N1,1000139,bridge,A,Baushia bazar Bridge( L ),23.5313996605222,90.68744892596,25.45
N1,1000140,link,,Km post missing,23.5301938,90.688833,95.8000000000041
N1,1000141,bridge,A,CHAR BOUSHEA (2),23.5301519626506,90.6897951837349,8.4
N1,1000142,link,,Daudkandi bridge,23.529916,90.6952219,34.59999999999752
N1,1000143,bridge,A,Daudkandi Bridge.,23.5303844733,90.7024402743,1408.8
N1,1000144,link,,Daudkandi bridge,23.5307771,90.7090278,325.60000000000144
N1,1000145,link,,Start of Comilla road Division / Start of Comilla road Division,23.5313882,90.7153611,426.00000000000193
N1,1000146,link,,Road to Matlab (Z1062),23.5314716,90.7172216,76.99999999999818
N1,1000147,link,,Bridge start,23.5315271,90.7173604,17.000000000003013
N1,1000148,link,,Bridge end,23.5315827,90.7176104,46.999999999997044
N1,1000149,link,,Km post missing,23.5317216,90.7180271,512.9999999999982
N1,1000150,link,,Box culvert,23.5322346,90.7226298386,172.45000000000488
N1,1000151,bridge,C,Baldhakhal Bridge,23.5324186,90.7242807234,23.1
N1,1000152,link,,Km post missing,23.5327216,90.7269993,250.0
N1,1000153,bridge,B,MAIS PARA BOX CULVERT,23.5317587831999,90.7291780095,6.0
N1,1000154,link,,Km post missing,23.528916,90.7356108,654.0000000000034
N1,1000155,link,,Ctg 214 km,23.5289993,90.7419441,966.9999999999987
N1,1000156,link,,Bridge start,23.5293882,90.7514167,16.999999999995907
N1,1000157,link,,Bridge end,23.5293882,90.7515833,24.00000000000091
N1,1000158,link,,Km post broken,23.529416,90.75175,658.7500000000048
N1,1000159,bridge,C,SHAHID NAGIR,23.5298050611,90.75825325,16.5
N1,1000160,link,,Km post Missing,23.5299993,90.7615,1000.0
N1,1000161,link,,Km post Missing,23.5304438,90.7713049,185.00000000000227
N1,1000162,link,,Box culvert,23.5304993,90.7731104,708.0500000000001
N1,1000163,bridge,C,SARKAR BARI CULVERT,23.5307655282208,90.7800797251533,3.9
N1,1000164,link,,Km post Missing,23.5308049,90.7811104,53.00000000000438
N1,1000165,link,,"Z1402, road to Pennai",23.5307493,90.7816104,65.9999999999954
N1,1000166,link,,"Z1053, Road to Homna",23.530666,90.7821938,773.0000000000032
N1,1000167,link,,Box culvert,23.5312216,90.7895552,107.99999999999699
N1,1000168,link,,Km post Missing,23.531166,90.7907219,598.7500000000025
N1,1000169,bridge,C,AMIRABATH SLAB CULVERT,23.5308683409424,90.7918075171727,6.5
N1,1000170,link,,Z1044,23.5306938,90.7924441,45.000000000001705
N1,1000171,link,,Km post Missing,23.5308604,90.8002222,402.9999999999987
N1,1000172,link,,Bridge start,23.5308882,90.8041389,20.000000000003126
N1,1000173,link,,Bridge end,23.530916,90.8043611,576.9999999999982
N1,1000174,link,,Km post Missing,23.5316382,90.8099167,107.05000000000098
N1,1000175,bridge,A,Ginlatoly bridge,23.5318234765,90.8110155135,15.9
N1,1000176,link,,Km post Missing,23.5332493,90.8194716,594.0000000000011
N1,1000177,link,,Bridge start,23.5346663,90.8249716,15.999999999998238
N1,1000178,link,,Bridge end,23.5347219,90.8251104,390.00000000000057
N1,1000179,link,,Km post Missing,23.5344997,90.8287216,282.89999999999793
N1,1000180,bridge,A,RAIPUR BOX CULVERT,23.5329743291,90.8309774761999,12.2
N1,1000181,link,,Km post Missing,23.5292216,90.8365274,367.00000000000443
N1,1000182,link,,Box culvert,23.5270549,90.8391386,632.9999999999956
N1,1000183,link,,Km post Missing,23.523166,90.8438886,41.7500000000075
N1,1000184,bridge,C,AITAL BANGA BOX CULVERT,23.5229166652,90.8442186132,4.5
N1,1000185,link,,Km post Missing,23.5174993,90.8513889,1000.0
N1,1000186,link,,Km post Missing,23.5170827,90.8607778,1000.0
N1,1000187,link,,Km post Missing,23.5135833,90.8697771,64.00000000000006
N1,1000188,link,,Bridge start,23.5133056,90.8703049,42.00000000000159
N1,1000189,link,,Bridge end,23.5131111,90.8706382,101.99999999999676
N1,1000190,link,,"Z1042, road to Bancharampur",23.5126667,90.871416,514.550000000007
N1,1000191,bridge,C,Illiot bazar Bridge,23.510087758207,90.8757204035353,28.9
N1,1000192,link,,Km post Missing,23.5088056,90.8778604,1000.0
N1,1000193,link,,Km post Missing,23.506,90.8869163,922.0000000000041
N1,1000194,link,,Box culvert,23.5056111,90.8958886,77.99999999999585
N1,1000195,link,,Km post Missing,23.5056389,90.8966108,566.0500000000042
N1,1000196,bridge,B,KHAT GHOR BOX CULVERT,23.5060024341,90.9021745389,5.9
N1,1000197,link,,Km post Missing,23.5062778,90.9063889,911.0000000000014
N1,1000198,link,,Box culvert,23.50575,90.91525,88.99999999999864
N1,1000199,link,,Km post Missing,23.5057222,90.9160278,559.4999999999999
N1,1000200,bridge,B,BAKRA BOX CULVERT,23.5056131416,90.9214660218,3.0
N1,1000201,link,,Km post Missing,23.5055278,90.9257216,1000.0
N1,1000202,link,,Km post Missing,23.5042778,90.9354163,9.000000000000341
N1,1000203,link,,"Z1017, Road to Companiganj",23.5043333,90.9354719,264.0000000000029
N1,1000204,link,,Box culvert,23.5038611,90.9371386,351.99999999999676
N1,1000205,link,,Box culvert,23.5028611,90.9412774,201.0000000000005
N1,1000206,bridge,B,MATIA BAZER,23.5024077848,90.9432418928,6.0
N1,1000207,link,,Km post Missing,23.5020278,90.9448886,267.4999999999983
N1,1000208,bridge,A,SONAPUR BOX CULVERT,23.5013551924,90.9473844088999,3.0
N1,1000209,link,,Km post Missing,23.4995274,90.9541667,1000.0
N1,1000210,link,,Km post Missing,23.4986386,90.9651111,274.0000000000009
N1,1000211,link,,Box culvert,23.4980552,90.9660278,182.99999999999272
N1,1000212,link,,Ctg 191 km,23.4972774,90.9674716,449.6999999999929
N1,1000213,bridge,B,KARON KHAL SLAB CULVERT,23.495896314,90.9715772516,4.6
N1,1000214,link,,Km post Missing,23.4942219,90.9765549,694.0000000000026
N1,1000215,link,,Box culvert,23.4951386,90.9829993,305.9999999999974
N1,1000216,link,,Km post Missing,23.4942497,90.985833,311.7500000000035
N1,1000217,bridge,A,MILL GHAT BOX CULVERT,23.4932728146,90.9887200416,4.5
N1,1000218,link,,Km post Missing,23.4911386,90.9950274,890.0000000000006
N1,1000219,link,,Road to Debiduar (Z1008),23.4894441,91.0033056,22.00000000000557
N1,1000220,link,,Road to Jhalam (Z1022),23.4893886,91.0034722,70.99999999999795
N1,1000221,link,,Ctg 188 km,23.4896108,91.0043056,733.9999999999947
N1,1000222,link,,"Ctg 188 km,Comilla 20 km",23.4893052,91.0112778,84.00000000000318
N1,1000223,link,,Bridge start,23.4890552,91.0120278,30.000000000001137
N1,1000224,link,,Bridge end,23.4889441,91.01225,197.9999999999933
N1,1000225,link,,Ctg 187 km,23.488333,91.0140833,389.45000000001073
N1,1000226,bridge,C,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.4868805937254,91.017566692647,23.1
N1,1000227,link,,Km post missing,23.4846386,91.0229438,1000.0
N1,1000228,link,,Km post missing,23.4827771,91.0321382,912.9999999999967
N1,1000229,link,,Box culvert,23.481166,91.0404441,140.99999999999113
N1,1000230,link,,Ctg 184 km,23.4814716,91.0419719,447.69999999999754
N1,1000231,bridge,B,CORI PAI BOX CULVERT,23.4817873233065,91.0463348850746,4.6
N1,1000232,link,,Box culvert,23.4820827,91.0504167,128.99999999999068
N1,1000233,link,,Km post missing,23.4821382,91.0516944,480.6999999999988
N1,1000234,bridge,B,COREPAI BOX CULVERT,23.4817498298684,91.0563549686842,4.6
N1,1000235,link,,Road to Khangsanagar (Z1219) left road to Barua Z1028 right,23.4815271,91.0590278,239.99999999999488
N1,1000236,link,,Km post missing,23.4815549,91.0613611,651.2500000000045
N1,1000237,bridge,A,NIMSHAR SLAB CULVERT,23.480613086,91.0674097692,1.5
N1,1000238,link,,Km post missing,23.4801104,91.0706382,944.0000000000026
N1,1000239,link,,Box culvert,23.4770827,91.0789993,55.999999999997385
N1,1000240,link,,Km post missing,23.4770271,91.0794716,552.5000000000091
N1,1000241,bridge,C,KABILA DUBARCHAR SLAB CULVERT,23.4776722851,91.0847406393,1.0
N1,1000242,link,,Km post missing,23.4781938,91.0889997,1000.0
N1,1000243,link,,Km post missing,23.4775549,91.0986663,513.0000000000052
N1,1000244,link,,Box culvert,23.4778604,91.1036111,486.99999999999477
N1,1000245,link,,Km post missing,23.4779993,91.1055278,118.5000000000116
N1,1000246,bridge,B,NAZIRA BOX CULVERT,23.4781159049382,91.1070332074074,3.0
N1,1000247,link,,Box culvert,23.4789438,91.1177216,27.999999999991587
N1,1000248,link,,Km post missing,23.4789716,91.1179993,17.000000000010118
N1,1000249,sourcesink,,SoSi2,23.4789716,91.118166,1.0
N1,1000250,intersection,,,23.4789716,91.118166,20.0
N1,1000251,link,,Road to Brahmanbaria(N102),23.4789716,91.118166,546.999999999997
N1,1000252,link,,Box culvert,23.4793327,91.1234716,43.300000000002115
N1,1000253,bridge,A,TIPRA BAZAR BOX CULVERT,23.4794083880733,91.1238920825688,1.4
N1,1000254,link,,Km post missing,23.4800827,91.1276382,158.5500000000053
N1,1000255,bridge,A,AMTOLI SLAB CULVERT,23.479544924,91.129047144,2.9
N1,1000256,link,,Km post missing,23.4767216,91.1364441,1000.0
N1,1000257,link,,Km post missing,23.4682216,91.1394441,1000.0
N1,1000258,link,,Km post missing,23.4595833,91.1421386,68.00000000001205
N1,1000259,link,,Cross road Z1029,23.459,91.142333,931.999999999988
N1,1000260,link,,Km post missing,23.4513056,91.1460552,303.0000000000115
N1,1000261,link,,Bridge start,23.448833,91.1471386,24.00000000000091
N1,1000262,link,,Bridge end,23.4486386,91.1472497,209.99999999999375
N1,1000263,link,,Cross Road with Z1052,23.4469441,91.1481386,335.2999999999895
N1,1000264,bridge,A,DHANPUR RCC GIDER BRIDGE,23.4436339598272,91.1493668151188,23.4
N1,1000265,link,,Km post missing,23.4425274,91.1497774,684.0000000000117
N1,1000266,link,,Ctg 170 km,23.4373886,91.1521944,1000.0
N1,1000267,link,,Km post missing,23.4288882,91.1553889,979.9999999999898
N1,1000268,link,,Ctg 168 km,23.4236938,91.1626944,28.000000000005798
N1,1000269,link,,Bridge start,23.4235827,91.1629722,37.00000000000614
N1,1000270,link,,Bridge end,23.423416,91.1632778,507.99999999999557
N1,1000271,link,,Rail Road Crossing,23.4213604,91.167666,8.015000000000327
N1,1000272,bridge,C,Paduar Bazar Bridge,23.4212487704918,91.1678943372365,35.97
N1,1000273,link,,Km post missing,23.4195271,91.171416,90.00000000000341
N1,1000274,link,,Left to Comilla Right to Noakhali,23.4191382,91.1721938,537.9999999999967
N1,1000275,link,,"Ctg 66 km,Feni 52 km",23.4149444,91.1801382,511.0000000000099
N1,1000276,link,,Bridge start,23.4131111,91.1846663,27.999999999991587
N1,1000277,link,,Bridge end,23.4130556,91.1849163,460.9999999999985
N1,1000278,link,,Km post missing,23.4125,91.1893886,465.05000000000507
N1,1000279,bridge,C,Mostapur Bridge,23.4119324230158,91.1939029849206,27.35
N1,1000280,link,,Ctg 164 km,23.4113056,91.1988886,1027.000000000001
N1,1000281,link,,Ctg 163 km,23.4100833,91.2087778,36.99999999999193
N1,1000282,link,,Box culvert,23.4100278,91.2090833,980.000000000004
N1,1000283,link,,Ctg 162 km,23.4048056,91.2165278,171.99999999999704
N1,1000284,link,,Bridge start,23.40375,91.2176382,28.999999999996362
N1,1000285,link,,Bridge end,23.4035556,91.2178049,799.0000000000066
N1,1000286,link,,Km post missing,23.398213447804338,91.22288776581436,70.05000000000905
N1,1000287,bridge,A,RAZAPARA RCC GIDER BRIDGE,23.3976518197887,91.2234221346859,27.9
N1,1000288,link,,Km post missing,23.3915274,91.2292493,10.000000000005116
N1,1000289,link,,Box culvert,23.3914441,91.2293049,891.9999999999959
N1,1000290,link,,Box culvert,23.385083,91.2345552,15.000000000000568
N1,1000291,link,,Box culvert,23.3849719,91.2346108,82.99999999999841
N1,1000292,link,,Km post missing,23.3843886,91.2351108,897.9999999999961
N1,1000293,link,,Bridge start,23.3779716,91.2403608,30.000000000001137
N1,1000294,link,,Bridge end,23.3777493,91.2405274,72.00000000000273
N1,1000295,link,,Km post missing,23.377166,91.2409163,749.7599999999949
N1,1000296,bridge,A,Suagazi Bridge.,23.3713647755,91.2450175414999,30.48
N1,1000297,link,,Km post missing,23.3695827,91.2462774,170.99999999999227
N1,1000298,link,,Box culvert,23.3683327,91.2471108,904.0000000000106
N1,1000299,link,,"Ctg 156 km,Feni 43 km",23.3615278,91.2515556,365.99999999999966
N1,1000300,link,,Bridge start,23.3586389,91.25325,24.00000000000091
N1,1000301,link,,Bridge end,23.3584444,91.2533333,609.9999999999994
N1,1000302,link,,Km post missing,23.3536944,91.2561389,196.56000000000518
N1,1000303,bridge,C,LAL BAG RCC GIDER BRIDGE,23.3521636774381,91.2572910746724,22.8
N1,1000304,link,,Box culvert,23.3486386,91.2599444,313.0000000000024
N1,1000305,link,,Km post missing,23.3463608,91.2616944,497.8499999999997
N1,1000306,bridge,A,CHANSIRI BOXCUIVERT,23.342671472,91.264485636,14.3
N1,1000307,link,,Km post missing,23.3390552,91.2672216,443.9999999999884
N1,1000308,link,,Bridge start,23.3360274,91.2700549,44.00000000001114
N1,1000309,link,,Bridge end,23.3357219,91.2703049,143.00000000000068
N1,1000310,link,,Road to Harishchar (Z1046),23.3347219,91.271166,368.9999999999998
N1,1000311,link,,Km post missing,23.3321938,91.2734716,259.00000000000034
N1,1000312,bridge,A,MIABAZAR BOX CULVERT,23.3301462324,91.2748792824,24.0
N1,1000313,link,,Km post missing,23.3246382,91.278666,72.99999999999329
N1,1000314,link,,Bridge start,23.324166,91.2791104,10.000000000005116
N1,1000315,link,,Bridge end,23.3240827,91.279166,789.4000000000005
N1,1000316,bridge,A,NOYA BAZER BOX CULVERT,23.3180696869138,91.2830867321701,9.2
N1,1000317,link,,Km post missing,23.3171382,91.2836941,269.999999999996
N1,1000318,link,,Bridge start,23.3149444,91.2844719,19.000000000005457
N1,1000319,link,,Bridge end,23.31475,91.2845552,597.999999999999
N1,1000320,link,,Box culvert,23.3096389,91.2861386,112.99999999999955
N1,1000321,link,,Km post missing,23.3086944,91.2864163,31.39999999999077
N1,1000322,bridge,B,DOLL BARI CULVERT,23.3083612731261,91.2865787034735,19.2
N1,1000323,link,,Box culvert,23.30425,91.288583,100.70000000000334
N1,1000324,bridge,B,DHARMA PUR SLAB CULVERT,23.3034306450331,91.2889770397351,2.6
N1,1000325,link,,Km post missing,23.3006111,91.290333,301.400000000001
N1,1000326,bridge,A,LALGORE BEZER CULVERT,23.2979675271676,91.2910141369942,3.2
N1,1000327,link,,Bridge start,23.296083,91.2914997,14.000000000010004
N1,1000328,link,,Bridge end,23.2959719,91.2915274,466.99999999999875
N1,1000329,link,,Km post missing,23.2919163,91.2922219,254.30000000000064
N1,1000330,bridge,A,SUPUYA BOX CULVERT,23.2897066386454,91.2929584711155,13.4
N1,1000331,link,,Box culvert,23.2876663,91.2936386,498.00000000000466
N1,1000332,link,,Km post missing,23.283583,91.2952219,218.69999999998413
N1,1000333,bridge,B,BOWCHI BAZAR CULVERT,23.2821949258397,91.2966655096899,4.6
N1,1000334,link,,Box culvert,23.2787216,91.3002778,225.9999999999991
N1,1000335,link,,Km post missing,23.2768882,91.3011944,465.849999999989
N1,1000336,bridge,B,AMAN GONG SLAB CULVERT,23.27301895,91.3029661882,6.3
N1,1000337,link,,Km post missing,23.2686382,91.3049722,115.99999999999966
N1,1000338,link,,Box culvert,23.2677493,91.3054722,277.000000000001
N1,1000339,link,,Box culvert,23.2654444,91.3064444,202.99999999998875
N1,1000340,link,,Box culvert,23.2636667,91.30675,206.50000000001967
N1,1000341,bridge,B,RANGAMATIA (1) BOX CULVERT,23.2618360940594,91.3070217386138,3.0
N1,1000342,link,,Km post missing,23.2601111,91.3072778,76.4999999999958
N1,1000343,bridge,B,RANGOWATIA 2 CULVERT,23.25941665,91.3073611,3.0
N1,1000344,link,,Box culvert,23.2587222,91.3074444,119.20000000000641
N1,1000345,bridge,B,NOWA PARA BOX CULVERT,23.2576429774881,91.3076156494075,3.6
N1,1000346,bridge,B,HARISHARDE CULVERT,23.2527463398104,91.3083926405213,4.5
N1,1000347,link,,Km post missing,23.2511944,91.3086389,173.99999999999238
N1,1000348,link,,Box culvert,23.249833,91.3091944,186.00000000000705
N1,1000349,link,,Bridge start,23.248333,91.3098056,22.999999999996135
N1,1000350,link,,Bridge end,23.2481663,91.3098889,346.9999999999942
N1,1000351,link,,Box culvert,23.2452774,91.3110556,107.75000000001
N1,1000352,bridge,B,SONAGATI BOX CULVERT,23.2443915125925,91.3114032292592,2.5
N1,1000353,link,,Km post missing,23.243083,91.3119167,11.399999999994748
